1701741380,right,0.5,models/61.4-acc-loss-2.39-top.model,0.036,0.5,0.464
1701741414,left,0.348,models/61.4-acc-loss-2.39-top.model,0.348,0.48,0.172
1701741500,left,0.396,models/61.4-acc-loss-2.39-top.model,0.396,0.576,0.028
1701741526,left,0.64,models/61.4-acc-loss-2.39-top.model,0.64,0.36,0.0
1701741560,left,0.036,models/63.23-acc-loss-2.52.model,0.036,0.012,0.952
1701741588,left,0.364,models/63.23-acc-loss-2.52.model,0.364,0.12,0.516
1701741613,left,0.34,models/63.23-acc-loss-2.52.model,0.34,0.244,0.416
1701741644,right,0.032,models/63.23-acc-loss-2.52.model,0.54,0.032,0.428
1701741675,right,0.836,models/61.4-acc-loss-2.39-top.model,0.084,0.836,0.08
1701741747,right,0.436,models/61.4-acc-loss-2.39-top.model,0.448,0.436,0.116
1701741781,right,0.364,models/61.4-acc-loss-2.39-top.model,0.316,0.364,0.32
1701741826,right,0.464,models/61.4-acc-loss-2.39-top.model,0.252,0.464,0.284
1701741908,none,0.048,models/61.4-acc-loss-2.39-top.model,0.04,0.912,0.048
1701741944,none,0.488,models/61.4-acc-loss-2.39-top.model,0.116,0.396,0.488
1701742045,left,0.58,models/61.4-acc-loss-2.39-top.model,0.58,0.372,0.048
1701742075,right,0.304,models/61.4-acc-loss-2.39-top.model,0.58,0.304,0.116
1701742101,right,0.528,models/61.4-acc-loss-2.39-top.model,0.212,0.528,0.26
1701742131,right,0.616,models/61.4-acc-loss-2.39-top.model,0.164,0.616,0.22
1701742156,right,0.648,models/61.4-acc-loss-2.39-top.model,0.068,0.648,0.284
1701742184,right,0.46,models/61.4-acc-loss-2.39-top.model,0.076,0.46,0.464
1701742212,left,0.012,models/61.4-acc-loss-2.39-top.model,0.012,0.628,0.36
1701742236,left,0.064,models/61.4-acc-loss-2.39-top.model,0.064,0.676,0.26
1701742261,left,0.052,models/61.4-acc-loss-2.39-top.model,0.052,0.492,0.456
